Marca temporal;Sexo;Edad;¿En qué barrio vivís?;¿Con qué frecuencia visitás el restaurante?;¿Cuál es el motivo principal de tus visitas?;¿Qué aspectos te motivan a elegir el restaurante?;¿Cómo definirías al restaurante?;¿Cómo calificarías la calidad de nuestros platos?;¿Qué opinás sobre nuestro servicio al cliente?;¿Qué opinás sobre la atmósfera y el diseño interior del lugar?;¿Qué aspectos de la ambientación sugerís mejorar?;De lo que hayas probado, ¿cuáles son tus preferidos del menú?;¿Hay algún plato o bebida que te gustaría que agreguemos al menú?;¿Experimentaste algún problema o inconveniente durante tus visitas al restaurante? Especificar si corresponde;¿Estarías interesado en eventos especiales organizados por nosotros? Ejemplo: cenas temáticas, catas de vino, noche de música en vivo, etc.;¿Tenés alguna recomendación o sugerencia para mejorar el restaurante?;;Puntuación
8/6/2023 13:40:31;Mujer;56 a 65 años;Sayago;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación, Mas silecioso al mediodia;Pescado;;No;Si, me gustan este tipo de eventos;Postres para diabeticos;;
8/6/2023 13:44:19;Mujer;18 a 25 años;Tres Cruces ;Es mi primera visita;Comidas familiares;Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Muzzarela ;Hamburguesa para niños ;No;No, no estoy interesado en este tipo de actividades;No;;
8/6/2023 13:57:12;Mujer;Menor de 18 años;Pocitos ;Una vez al mes o más;Comidas familiares;;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;Tortilla de papa, capeletti carusso, faina, milanesa y brochete. ;Papas a la española. ;No;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 13:59:30;Mujer;56 a 65 años;Capurro ;Una vez al mes o más;Comidas familiares;El ambiente y su calidez;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pescado todos;Maracuya;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 14:04:56;Hombre;56 a 65 años;Capurro ;Una vez al mes o más;Comidas familiares;Tradición e historia del lugar;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ventilación;Asado ;No;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 14:09:45;Hombre;26 a 35 años;Tres Cruces;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Parrilla;No;No;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 14:10:41;Hombre;18 a 25 años;Carrasco;Semanalmente;Comidas familiares;Tradición e historia del lugar;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada.;Asado de Manu y pizza de jamón de Julio;No;En los pedidos.;Si, me gustan este tipo de eventos;No.;;
8/6/2023 14:20:47;Hombre;36 a 45 años;Union;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación, Música;Napolitana, parrilla y pollo;Lasagña;Ninguna;Si, me gustan este tipo de eventos;No;;
8/6/2023 14:24:54;Mujer;56 a 65 años;Carrasco;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Parrilla ;No;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 14:29:48;Hombre;56 a 65 años;Carrasco;Una vez al mes o más;Comidas familiares;Tradición e historia del lugar;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Todo lo de parrilla;;Un domingo de noche no nos atendió ningún mozo, todos decían que no les correspondía nuestra mesa;No, no estoy interesado en este tipo de actividades;Ni Nguni en particular;;
8/6/2023 14:55:11;Hombre;26 a 35 años;Parque Batlle ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pastas , carnes . Por ahora todo muy rico ;Todo ok;Nunca ;Si, me gustan este tipo de eventos;De momento todo impecable ;;
8/6/2023 15:03:42;Mujer;56 a 65 años;Malvin;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Canelones ;Todo deli;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 15:07:50;Mujer;56 a 65 años;Malvin ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Canelones ;Todo muy rico ;No;Si, me gustan este tipo de eventos;Nada ;;
8/6/2023 15:14:28;Hombre;26 a 35 años;Carrasco;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Asado;;;Si, me gustan este tipo de eventos;;;
8/6/2023 15:21:23;Hombre;46 a 55 años;Bella italia;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;Brasero;;;;;;
8/6/2023 15:27:19;Hombre;46 a 55 años;Carrasco norte;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente, Recomendación de conocidos o reseñas positivas, Ofertas y promociones especiales;Familiar, Parrillada;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Ruido ambiente, Olores;Chivito, napolitana, hamburguesa vegetariana ;;;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 15:30:49;Mujer;26 a 35 años;Parque rivera;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;No me importa mucho, lo importante es la comida;Nada;Lasagna y baby beef;;;Si, me gustan este tipo de eventos;;;
8/6/2023 15:45:34;Hombre;18 a 25 años;Flor de maroñas ;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Milanesa con fritas;;No;Si, me gustan este tipo de eventos;;;
8/6/2023 15:53:17;Hombre;65 a 75 años;Cordon;Semanalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Siempre la opción de plato del día. Muy buenos ;Ya hay mucha variedad ;Nunca tuve problemas. La atención es muy buena. ;Si, me gustan este tipo de eventos;No;;
8/6/2023 16:09:35;Hombre;18 a 25 años;Carrasco;Semanalmente;Comida de negocios;Variedad y calidad del menú;Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;No me gusta, creo que necesita un rediseño;Ruido ambiente, Olores, Comodidad del mobiliario;;;;Si, me gustan este tipo de eventos;;;
8/6/2023 16:21:08;Hombre;56 a 65 años;Punta Gorda;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Milanesa;Sushi;;Si, me gustan este tipo de eventos;;;
8/6/2023 17:05:37;Mujer;Mayor de 76 años;Malvin;Varias veces al año;Me gusta la oferta ;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, Ofertas y promociones especiales;Familiar, Restaurante, Bar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;Sandwich caliente ;No se;No;No, no estoy interesado en este tipo de actividades;Lo haría ;;
8/6/2023 19:11:15;Mujer;18 a 25 años;Malvin;Una vez al mes o más;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Parrilla ;No;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 20:27:50;Mujer;46 a 55 años;Buceo ;Semanalmente;Reuniones con amigos;El ambiente y su calidez, La atención de Nadia ;Bar de siempre, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pescados ;;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 20:30:07;Mujer;56 a 65 años;Malvin ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú, La calidez de la atención de la mesera Nadia;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Milanesa de la casa ;;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 20:34:06;Mujer;56 a 65 años;Punta Gorda ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;Pescado ;Paella;Ninguno;Si, me gustan este tipo de eventos;Nada.Está todo muy bien;;
8/6/2023 20:47:42;Hombre;56 a 65 años;Rocha;Ocasionalmente;Vengo a trabajar;Variedad y calidad del menú;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Asado;No;No;Si, me gustan este tipo de eventos;No;;
8/6/2023 21:06:59;Mujer;26 a 35 años;La blanqueqda;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;En estos momentos no cambiaria nada;Miniuuras de pescado, strogonof, pollo grille con salasa champi, ;Berenjenas a la parmesana ;No ninguna;Si, me gustan este tipo de eventos;A mi no me molesta, pero hablando con amigos no están de acuerdo con pagar el cubierto,  ;;
8/6/2023 21:56:33;Hombre;26 a 35 años;El pinar ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú, Tradición e historia del lugar, Ubicación conveniente;Bar que te atienden como restaurante;Bueno;Aceptable: podría mejorar en algunos aspectos;No me importa mucho, lo importante es la comida;Nada ;Papas steakhouse, faina ;Mostaza tipo de la pasiva ;No ;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 22:12:02;Hombre;26 a 35 años;Cordon;Ocasionalmente;Comidas familiares;El ambiente y su calidez, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pizzetas, faina ;Ninguna;;Si, me gustan este tipo de eventos;;;
8/6/2023 22:30:12;Mujer;56 a 65 años;La floresta, canelones ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú, El ambiente y su calidez;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;;Muzzarela,faina;No;Ninguno ;No, no estoy interesado en este tipo de actividades;Ninguna ;;
8/7/2023 13:08:53;Mujer;46 a 55 años;Malvin;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Olores, Cerca delBaño;Maryland,tallarines con salsa italiana;;;No, no estoy interesado en este tipo de actividades;;;
8/7/2023 13:32:11;Mujer;56 a 65 años;Carrasco;Una vez al mes o más;Comidas familiares;Tradición e historia del lugar;Familiar;Bueno;Aceptable: podría mejorar en algunos aspectos;Me encanta, es un ambiente acogedor y agradable;Iluminación;Pollo salceado;;La atencion es muy lenta. Demoran en traer los platos y a veces llega frial;No, no estoy interesado en este tipo de actividades;Q el servicio sea mas rapido. Limpieza en mesas d los bagones. En la parte d abajo;;
8/7/2023 13:34:09;Hombre;18 a 25 años;Unión;Una vez al mes o más;Celebraciones;Variedad y calidad del menú, Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;La napo ;;;Si, me gustan este tipo de eventos;;;
8/7/2023 13:36:12;Hombre;18 a 25 años;El Pinar;Ocasionalmente;Comidas familiares;Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Milanesa;No;;No, no estoy interesado en este tipo de actividades;;;
8/7/2023 13:39:08;Mujer;18 a 25 años;Pocitos;Una vez al mes o más;Cenas románticas o especiales en pareja;Tradición e historia del lugar;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada todo esa perfecto ;Todo ;Croquetas de arroz ;Ninguno;Si, me gustan este tipo de eventos;No;;
8/7/2023 13:43:20;Hombre, Mujer;46 a 55 años;Fuerte apache;Ocasionalmente;A quebrarles el negocio;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar, Recomendación de conocidos o reseñas positivas, Ofertas y promociones especiales, ;Genero no binario;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente, Olores, Los baños;El bifu martinez;Molleja a la checoslovaka;El cuidacoche me la pudrio;Si, me gustan este tipo de eventos;No;;
8/7/2023 14:02:04;Mujer;18 a 25 años;Malvin norte ;;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar, Recomendación de conocidos o reseñas positivas, Ofertas y promociones especiales, Buena atención y calidad ;Familiar, Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada ;Panqueque de manzana, sanguches, milanesa napolitana, ravioles ;Hamburguesas artesanales ;No ;Si, me gustan este tipo de eventos;;;
8/7/2023 14:02:42;Mujer;65 a 75 años;Piruapolis;Una vez al mes o más;Comidas familiares;Tradición e historia del lugar;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;No me importa mucho, lo importante es la comida;Ruido ambiente;Pastas, chivitos, parrilla;Todo;Todo bien;No, no estoy interesado en este tipo de actividades;Que la música no esté fuerte;;
8/7/2023 15:08:00;Hombre;18 a 25 años;Barra de carrasco;Varias veces al año;Comidas familiares;Ubicación conveniente;Restaurante;Aceptable;Insatisfactorio: el servicio necesita una mejora significativa;Me encanta, es un ambiente acogedor y agradable;Esta bien todo;Entraña;;La atencion de los mozos es lenta, poco profesional;No, no estoy interesado en este tipo de actividades;La atencion de los mozos, y coccion de la partilla, siempre que pedimos hay que volver a cocinarla porque viene fuera de punto;;
8/7/2023 15:09:40;Mujer;26 a 35 años;Punta gorda;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Riojana;No;Demora ;Si, me gustan este tipo de eventos;No;;
8/7/2023 15:22:46;Mujer;36 a 45 años;Barra de Carrasco;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente, Música, Olores;Milanesas ;;No;Si, me gustan este tipo de eventos;;;
8/7/2023 15:32:44;Hombre;56 a 65 años;Pocitos;Ocasionalmente;Reuniones con amigos;Tradición e historia del lugar;Restaurante;Bueno;Aceptable: podría mejorar en algunos aspectos;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación;;;;Si, me gustan este tipo de eventos;;;
8/7/2023 18:59:25;Mujer;18 a 25 años;Buceo;Varias veces al año;Cenas románticas o especiales en pareja;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación, Olores;Sorrentinos con salsa 4 quesos ;;;Si, me gustan este tipo de eventos;;;
8/7/2023 21:33:59;Mujer;36 a 45 años;Malvin;Una vez al mes o más;Reuniones con amigos;El ambiente y su calidez, Ubicación conveniente;Familiar, Bar de siempre, Bar que te atienden como restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;Muzzarella;Opciones ;;Si, me gustan este tipo de eventos;;;
8/7/2023 22:48:50;Mujer;26 a 35 años;Malvin ;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Música;Milanesa y pizza;;;Si, me gustan este tipo de eventos;;;
8/7/2023 22:57:14;Hombre;56 a 65 años;Cordón ;Semanalmente;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente, Estacionamiento;Calidad buena precios altos;Bueno;Bueno: en general estoy satisfecho con el servicio;No me importa mucho, lo importante es la comida;Ruido ambiente, Música;Pizza y canelones ;;;Si, me gustan este tipo de eventos;;;
8/7/2023 23:43:00;Hombre;26 a 35 años;Malvin;Semanalmente;Reuniones con amigos;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Parrilla;Aperol spirtz;;No, no estoy interesado en este tipo de actividades;No;;
8/8/2023 12:55:41;Hombre;46 a 55 años;Carrasco;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar;Familiar, Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;;Tortilla, pescado;No;No;No, no estoy interesado en este tipo de actividades;No;;
8/8/2023 14:57:04;Mujer;56 a 65 años;Flor de Maroñas ;Ocasionalmente;Tiempo a solas conmigo mismo;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Sandwiches calientes ;Café frio;;Si, me gustan este tipo de eventos;No;;
8/8/2023 16:04:01;Hombre;26 a 35 años;Malvin ;Varias veces al año;Vengo a trabajar;Variedad y calidad del menú;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación;La milanesa del restaurante ;Flan con crema ;No ;Si, me gustan este tipo de eventos;Ninguna ;;
8/8/2023 21:04:50;Hombre;18 a 25 años;Carrasco;Semanalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Entraña con fritas;Mirinda;No;Si, me gustan este tipo de eventos;No;;
8/8/2023 22:11:02;Hombre;56 a 65 años;Punta Gorda;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, Ubicación conveniente;Bar de siempre, Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;;;No ;Si, me gustan este tipo de eventos;;;
8/8/2023 22:17:57;Mujer;46 a 55 años;Punta Gorda ;Ocasionalmente;;Variedad y calidad del menú;;Excelente;Excepcional: el personal es amable, atento y servicial;No me importa mucho, lo importante es la comida;;;;;Si, me gustan este tipo de eventos;;;
8/8/2023 22:35:40;Mujer;46 a 55 años;Carrasco;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Bar que te atienden como restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación, Olores;Milanesa suprema Maryland , espinacas , parrillada ;;;No, no estoy interesado en este tipo de actividades;;;
8/9/2023 12:42:52;Mujer;26 a 35 años;En la Paloma, departamento de Rocha;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Bar de siempre, Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Me gusta todo. ;Napolitana;No;No;No, no estoy interesado en este tipo de actividades;Me gusta todo;;
8/9/2023 13:58:27;Hombre;18 a 25 años;;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada ;Pizza y pastas ;No ;No ;Si, me gustan este tipo de eventos;No;;
8/9/2023 13:59:33;Mujer;18 a 25 años;;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Familiar, Bar de siempre;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;picaña;;;Si, me gustan este tipo de eventos;;;
8/9/2023 15:05:12;Hombre;46 a 55 años;Punta Gorda;Una vez al mes o más;Tiempo a solas conmigo mismo;Variedad y calidad del menú, Ubicación conveniente;Familiar, Bar que te atienden como restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Cielorrasos;Sugerencias ;;Nunca;Si, me gustan este tipo de eventos;Incorporar refrescos de litro o litro y medio;;
8/10/2023 13:42:34;Mujer;36 a 45 años;Colinas de Carrasco;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación, Ruido ambiente, Comodidad del mobiliario;Parrilla;No;Una vez el asado parecía estar recalentado;Si, me gustan este tipo de eventos;Sillas más cómodas ;;0
8/10/2023 14:19:15;Mujer;46 a 55 años;Punta carretas;Ocasionalmente;Comidas familiares;Tradición e historia del lugar;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Pollo al wok con vegetales ;;;No, no estoy interesado en este tipo de actividades;;;0
8/10/2023 17:37:31;Hombre;65 a 75 años;Punta Gorda;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Parrilla;Ninguno ;Ningún inconveniente ;Si, me gustan este tipo de eventos;Ninguna ;;0
8/10/2023 19:36:55;Hombre;46 a 55 años;Barra de Carrasco;Es mi primera visita;Celebraciones;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, Recomendación de conocidos o reseñas positivas;Familiar, Bar de siempre, Bar que te atienden como restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;;;;Si, me gustan este tipo de eventos;;;0
8/10/2023 19:37:03;Mujer;Menor de 18 años;Parque miramar;Varias veces al año;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Olores;Faina;ninguna;no;Si, me gustan este tipo de eventos;no;;0
8/10/2023 19:37:48;Mujer;36 a 45 años;Parque miramar;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Pescado;No;No;No, no estoy interesado en este tipo de actividades;No;;0
8/10/2023 19:52:56;Mujer;56 a 65 años;Malvin;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Canelones;Refresco ;No;Si, me gustan este tipo de eventos;No;;0
8/10/2023 21:46:11;Mujer;46 a 55 años;Punta gorda;Ocasionalmente;Tiempo a solas conmigo mismo;Tradición e historia del lugar, Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Comodidad del mobiliario;Carne;Sushi;No;Si, me gustan este tipo de eventos;Quizás modernizar el local y el mobiliario ;;0
8/10/2023 21:49:05;Mujer;46 a 55 años;Punta Gorda ;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Parrillada;Bueno;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Comodidad del mobiliario;Faina y parrilla ;No se me ocurre ;No;Si, me gustan este tipo de eventos;Renovar diseño del salon;;0
8/10/2023 21:55:46;Hombre;46 a 55 años;Cordón ;Semanalmente;Reuniones con amigos;Tradición e historia del lugar, El ambiente y su calidez;Familiar, Bar que te atienden como restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pasta y carnes ;Más refrescos de litro ;Entiendo que no se debería cobrar ni cubiertos y/o panera;Si, me gustan este tipo de eventos;Lo dicho antes sobre el cobro de cubiertos, pan ;;0
8/10/2023 21:56:31;Hombre;46 a 55 años;Malvin ;Varias veces al año;Reuniones con amigos;El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación, ;Pizza, faina, muzzarela;;No;No, no estoy interesado en este tipo de actividades;;;0
8/10/2023 21:58:11;Mujer;65 a 75 años;Unión ;Semanalmente;Comidas familiares;Variedad y calidad del menú;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Asado tierno a las brasas y ensaladas;;;No, no estoy interesado en este tipo de actividades;;;0
8/10/2023 22:48:21;Mujer;26 a 35 años;Malvin norte ;Ocasionalmente;Celebraciones;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Olores;Brochette;No ;Nunca ;Si, me gustan este tipo de eventos;No ;;0
8/11/2023 11:46:14;Hombre;65 a 75 años;Carrasco;Varias veces al año;Tiempo a solas conmigo mismo;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, Ofertas y promociones especiales;Restaurante, Bar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;No se me ocurre, está todo muy agradable.;Pizzeria y pollo;No se me ocurre;No;No, no estoy interesado en este tipo de actividades;La atención a la mesa me resulta correcta, pero en ocasiones le falta calidez.;;0
8/11/2023 14:42:22;Mujer;36 a 45 años;La Blanqueada;Varias veces al año;Reuniones con amigos;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Olores;Hamburguesa de coliflor;;No. ;Si, me gustan este tipo de eventos;;;0
